epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,406.205,1.10912,0.94021,1.30346,0.74493,0.65976,0.7352,0.42684,1.56327,1.14298,1.59113,0.0001288,0.0001288,0.0001288
90,410.709,1.12573,0.95539,1.31371,0.72332,0.73837,0.75819,0.43101,1.58604,1.14169,1.61718,0.0001189,0.0001189,0.0001189
91,416.086,1.15266,0.97757,1.37964,0.70334,0.65585,0.72167,0.39996,1.63488,1.21981,1.66597,0.000109,0.000109,0.000109
92,420.535,1.09516,0.87766,1.34657,0.72176,0.7191,0.74962,0.42347,1.58436,1.13852,1.63191,9.91e-05,9.91e-05,9.91e-05
93,424.957,1.0707,0.85548,1.33185,0.68462,0.73032,0.74142,0.4252,1.57575,1.13173,1.62517,8.92e-05,8.92e-05,8.92e-05
94,429.449,1.07227,0.83734,1.33049,0.74603,0.67438,0.74974,0.43578,1.57872,1.12629,1.62851,7.93e-05,7.93e-05,7.93e-05
95,433.968,1.07458,0.83529,1.33231,0.7343,0.68592,0.74224,0.43022,1.56603,1.13613,1.61769,6.94e-05,6.94e-05,6.94e-05
96,438.436,1.05241,0.84491,1.32208,0.69084,0.71126,0.73468,0.42667,1.56813,1.14108,1.61892,5.95e-05,5.95e-05,5.95e-05
97,442.912,1.07615,0.8428,1.33296,0.70916,0.70314,0.74549,0.43213,1.57128,1.12679,1.62755,4.96e-05,4.96e-05,4.96e-05
98,447.318,1.04464,0.80222,1.30768,0.75,0.6967,0.75211,0.43081,1.58539,1.1411,1.62725,3.97e-05,3.97e-05,3.97e-05
99,451.717,1.03396,0.81122,1.31099,0.73857,0.70147,0.75833,0.4354,1.57967,1.12844,1.62368,2.98e-05,2.98e-05,2.98e-05
100,456.145,1.03916,0.80924,1.30943,0.72549,0.71472,0.75393,0.43265,1.58113,1.13403,1.62728,1.99e-05,1.99e-05,1.99e-05
